id,places,daycare_centers
01100101,39,1
01100103,429,7
01100104,300,2
01100205,253,5
01100206,215,3
01100207,533,5
01100308,739,10
01100309,872,10
01100310,361,5
01100311,673,4
01100312,494,5
01100313,438,7
01100414,54,1
01100415,929,9
01100416,1159,17
01200517,177,4
01200518,222,6
01200519,763,10
01200520,174,3
01200521,131,3
01200522,460,13
01200623,575,10
01200624,385,6
01200625,223,7
01200626,406,7
01200628,268,4
01200629,301,4
01300730,583,8
01300731,421,8
01300732,610,8
01300733,647,15
01300834,916,13
01300835,791,10
01300836,770,12
01400937,636,9
01400938,790,14
01400939,367,14
01400940,82,2
01400941,55,1
01400942,568,11
01401043,537,9
01401044,598,9
01401045,340,5
01401046,141,4
01401047,583,14
01401048,564,15
01401049,287,5
02100101,374,6
02100102,712,9
02100103,162,2
02100104,476,4
02100105,330,4
02100106,40,2
02200207,52,2
02200208,316,5
02200209,654,14
02200210,962,11
02200211,587,21
02200212,429,10
02200213,585,16
02300314,836,12
02300315,406,12
02300316,232,7
02300417,358,7
02300418,695,15
02300419,642,13
02400520,286,3
02400521,728,9
02400522,485,6
02400623,661,5
02400624,591,12
02400625,68,1
02500726,150,6
02500727,848,13
02500728,340,10
02500729,465,2
02500830,201,2
02500831,446,9
02500832,434,8
02500833,57,3
02500834,787,11
02500835,302,6
02500836,433,4
03100101,479,7
03100102,70,1
03100103,795,6
03200204,115,2
03200205,233,6
03200206,1128,17
03200207,690,13
03200308,315,4
03200309,203,3
03200310,686,9
03300411,917,12
03300412,215,3
03300413,292,3
03300514,134,2
03300515,120,1
03300516,305,4
03400618,146,2
03400619,1113,15
03400721,712,20
03400722,574,7
03400723,635,9
03400724,503,7
03400725,488,5
03400826,492,3
03400827,194,4
03400828,646,7
03400829,420,5
03400830,79,2
03500932,452,5
03500933,631,10
03500934,479,7
03500935,480,12
03500936,454,8
03501037,629,5
03501038,217,2
03601139,296,5
03601140,95,2
03601141,597,12
03601142,562,14
03601243,643,7
03601244,154,4
03601245,711,6
03601346,101,3
03601347,861,15
03601348,187,7
03601449,745,5
03601450,195,1
03601451,288,3
03601452,275,3
03601453,400,6
03701554,436,9
03701555,330,4
03701556,556,7
03701657,252,3
03701658,426,11
03701659,417,8
03701660,611,15
04100101,512,5
04100102,280,3
04200203,66,3
04200204,50,1
04200205,55,1
04200206,46,1
04200207,270,6
04200308,568,7
04200309,130,3
04200310,383,4
04200311,106,4
04300412,379,3
04300413,349,13
04300414,383,9
04300415,452,7
04300416,470,15
04300517,309,9
04300518,600,10
04300619,474,10
04300620,196,4
04300621,518,10
04300622,174,2
04300623,236,7
04300624,281,5
04400726,377,3
04400727,323,5
04400728,177,4
04400729,30,1
04400830,179,4
04400831,110,1
04400832,467,4
04400833,115,2
04400834,130,3
04400835,357,5
04500936,136,3
04500937,43,2
04500938,374,13
04500939,610,6
04501041,496,5
04501042,87,2
04501043,156,2
04501044,217,5
04501045,135,4
04501146,87,3
04501147,227,8
04501148,215,4
04501149,247,9
04501150,330,6
04501151,581,13
04501152,369,8
04501153,198,10
05100101,652,6
05100103,125,2
05100104,478,5
05100105,81,3
05100206,90,1
05100208,636,8
05100209,566,5
05100210,170,3
05100211,438,5
05100313,250,2
05100314,466,7
05100315,543,5
05100316,532,8
05100317,271,3
05200419,59,2
05200420,413,5
05200421,208,2
05200422,195,2
05200423,218,2
05200524,320,2
05200525,309,3
05200526,160,2
05200527,847,7
05200528,290,2
05200629,526,6
05200630,440,12
05200631,286,6
05200634,340,5
05300735,243,2
05300736,358,3
05300737,393,7
05300839,328,5
05300840,141,2
05300841,285,3
05400942,516,8
05400943,410,4
05400945,191,3
06100101,376,7
06100102,410,8
06100103,186,5
06100204,317,4
06100205,338,4
06100206,65,2
06100207,433,7
06100208,309,6
06100209,183,4
06100210,46,3
06200312,399,6
06200313,266,5
06200314,545,9
06200315,315,4
06200316,321,3
06200317,135,2
06200419,414,3
06200420,258,3
06200421,451,6
06200422,225,3
06200423,459,5
06300524,85,1
06300525,205,3
06300526,472,6
06300527,431,4
06300528,547,7
06300629,141,4
06300630,452,5
06300631,165,3
06300632,541,6
06300633,913,13
06300634,161,4
06400735,345,7
06400736,472,4
06400737,353,6
06400838,55,1
06400839,622,6
06400840,195,5
06400841,100,2
06400842,516,5
06400843,213,3
06400844,462,6
07100101,394,9
07100102,338,4
07100103,299,4
07100204,482,8
07100205,146,2
07100206,309,7
07200307,120,3
07200308,554,9
07200409,612,12
07200410,338,6
07200411,133,1
07200412,221,4
07200413,444,9
07200414,371,9
07300515,180,3
07300516,381,8
07300517,743,16
07300618,670,12
07300619,567,8
07400720,443,8
07400721,391,4
07400822,108,3
07400823,164,5
07400824,529,7
07400825,683,15
07400826,121,2
07400927,553,7
07400928,155,2
07501029,460,7
07501030,339,6
07501031,396,3
07501032,405,4
07501133,445,5
07501134,459,4
07501135,209,2
07601236,736,8
07601237,373,5
07601238,60,1
07601339,106,2
07601340,433,6
07601341,133,2
07601442,254,6
07601443,897,9
07601544,419,6
07601545,766,12
07601546,248,2
07601547,49,2
07601548,60,1
08100101,384,8
08100102,303,8
08100103,293,8
08100104,485,9
08100105,539,6
08100206,206,7
08100207,783,8
08100208,654,14
08100209,661,14
08100310,324,8
08100311,153,5
08100312,848,15
08100313,17,1
08100314,330,5
08100415,225,5
08100416,356,9
08100417,438,8
08100418,371,9
08100419,505,4
08100520,130,1
08100521,572,5
08200622,282,5
08200623,288,3
08200624,463,6
08200725,33,1
08200726,431,7
08200727,383,7
08200728,152,1
08200729,40,1
08200730,326,4
08200831,454,5
08200832,631,6
08200833,350,3
08300934,285,5
08300935,466,5
08301036,448,3
08301037,410,5
08401139,123,1
08401140,151,2
08401241,219,3
08401242,338,4
08401243,759,7
08401244,170,2
08401245,245,4
08401246,197,2
09100101,825,11
09100202,60,2
09100203,315,3
09100304,555,9
09100305,107,4
09100407,619,5
09100408,409,9
09100409,269,3
09200510,390,5
09200511,614,12
09200512,438,4
09200613,460,10
09200614,496,6
09200715,385,6
09200716,480,7
09200717,153,2
09200818,345,2
09200819,458,7
09300920,767,11
09300922,705,5
09300923,378,4
09301024,373,4
09301025,296,5
09301126,537,7
09301227,68,2
09301228,66,2
09401329,635,6
09401330,70,1
09401431,287,3
09401433,190,2
09401534,505,8
09401635,235,3
09501736,417,3
09501737,736,12
09501838,550,9
09501939,231,5
09501940,191,3
09501941,275,3
09502042,231,3
09502043,378,3
10100101,260,2
10100102,220,4
10100103,280,2
10100104,684,6
10100205,25,1
10100206,515,5
10100207,404,2
10100208,337,4
10100209,753,5
10100210,682,6
10100311,120,1
10100312,1138,9
10100313,355,3
10100314,249,2
10100315,228,2
10100316,199,3
10200417,561,6
10200418,355,2
10200419,250,2
10200420,440,4
10200421,18,1
10200422,317,6
10200423,797,5
10200524,353,4
10200525,420,3
10200526,458,5
10200627,136,1
10200628,355,3
10200629,603,6
10200630,490,3
10300731,156,4
10300732,691,7
10300733,302,5
10300734,504,5
10400835,685,7
10400836,89,2
10400837,150,3
10400938,253,4
10400939,243,5
10400940,389,3
10400941,529,7
11100101,290,3
11100102,110,2
11100203,640,4
11100204,487,4
11100205,273,3
11100206,618,5
11100307,658,5
11100308,512,4
11100309,390,3
11200410,636,6
11200411,305,3
11200512,438,4
11200513,427,4
11200514,1018,5
11200515,222,3
11300616,516,3
11300617,259,2
11300618,90,2
11300619,710,5
11300620,582,6
11300721,262,3
11300722,312,3
11300723,416,2
11300724,298,4
11300725,483,6
11300826,786,5
11400927,299,5
11400928,141,4
11400929,750,11
11400930,451,4
11400931,270,2
11401032,180,1
11401033,447,3
11401034,205,2
11401135,429,3
11401136,615,6
11401137,300,1
11501238,360,4
11501339,704,9
11501340,584,6
11501341,737,14
12100101,410,2
12100102,452,6
12100103,451,5
12100204,377,7
12100205,697,12
12100206,183,2
12200307,25,1
12200308,400,4
12200309,445,7
12200310,355,6
12200412,187,1
12200413,338,4
12200414,15,1
12200515,656,9
12400616,185,3
12400617,457,6
12400618,106,2
12400619,185,3
12400720,149,2
12400721,345,9
12400722,415,5
12400723,515,10
12500824,350,6
12500825,315,5
12500926,512,6
12500927,157,3
12500928,413,8
12500929,247,4
12500930,432,4
12601031,501,6
12601032,205,1
12601133,133,1
12601134,999,9
12601235,473,4
12601236,234,4
